month,year,admin_ascii,total_cases,confirmed_cases
2,2011,putumayo,55,27
2,2011,quindio,72,14
2,2011,risaralda,28,11
2,2011,san andres,1,1
2,2011,santander,131,24
2,2011,sucre,102,32
2,2011,tolima,177,40
2,2011,valle,270,111
2,2011,vaupes,,
2,2011,vichada,44,34
2,2012,amazonas,3,2
2,2012,antioquia,133,56
2,2012,arauca,29,16
2,2012,atlantico,117,83
2,2012,bogota,13,3
2,2012,bolivar,52,32
2,2012,boyaca,20,18
2,2012,caldas,14,11
2,2012,caqueta,371,154
2,2012,casanare,208,128
2,2012,cauca,25,16
2,2012,cesar,81,33
2,2012,choco,19,1
2,2012,cordoba,128,99
2,2012,cundinamarca,103,40
2,2012,exterior,4,2
2,2012,guainia,19,2
2,2012,guajira,44,29
2,2012,guaviare,13,5
2,2012,huila,617,412
2,2012,magdalena,22,17
2,2012,meta,737,151
2,2012,nari�o,11,10
2,2012,norte santander,213,65
2,2012,procedencia desconocida,,
2,2012,putumayo,110,65
2,2012,quindio,59,4
2,2012,risaralda,41,22
2,2012,san andres,5,5
2,2012,santander,162,64
2,2012,sucre,112,43
2,2012,tolima,220,44
2,2012,valle,301,169
2,2012,vaupes,1,0
2,2012,vichada,16,11
2,2013,amazonas,13,4
2,2013,antioquia,390,246
2,2013,arauca,63,28
2,2013,atlantico,492,335
2,2013,bogota,11,3
2,2013,bolivar,267,223
2,2013,boyaca,51,44
2,2013,caldas,59,54
2,2013,caqueta,61,32
2,2013,casanare,256,92
2,2013,cauca,48,21
2,2013,cesar,320,92
2,2013,choco,8,8
2,2013,cordoba,139,112
2,2013,cundinamarca,305,129
2,2013,exterior,5,4
2,2013,guainia,1,1
2,2013,guajira,134,125
2,2013,guaviare,23,22
2,2013,huila,366,195
2,2013,magdalena,208,138
2,2013,meta,584,190
2,2013,nari�o,42,35
2,2013,norte santander,534,246
2,2013,procedencia desconocida,,
2,2013,putumayo,127,46
2,2013,quindio,159,47
2,2013,risaralda,25,19
2,2013,san andres,5,5
