month,city_ascii,year,total_cases,confirmed_cases,city_ascii,lat,lng,admin_ascii,population,population_proper
2,acandi,2014,1,0,acandi,8.5114,-77.2778,choco,,
12,acandi,2015,1,1,acandi,8.5114,-77.2778,choco,,
11,acandi,2016,1,0,acandi,8.5114,-77.2778,choco,,
8,acandi,2016,1,0,acandi,8.5114,-77.2778,choco,,
1,acandi,2016,3,2,acandi,8.5114,-77.2778,choco,,
9,acandi,2016,1,1,acandi,8.5114,-77.2778,choco,,
7,acandi,2017,1,1,acandi,8.5114,-77.2778,choco,,
1,acandi,2017,1,1,acandi,8.5114,-77.2778,choco,,
1,acevedo,2007,3,1,acevedo,1.8047,-75.8897,huila,39877,39877
3,acevedo,2007,10,4,acevedo,1.8047,-75.8897,huila,39877,39877
6,acevedo,2007,8,1,acevedo,1.8047,-75.8897,huila,39877,39877
12,acevedo,2007,7,3,acevedo,1.8047,-75.8897,huila,39877,39877
7,acevedo,2007,5,2,acevedo,1.8047,-75.8897,huila,39877,39877
5,acevedo,2007,8,0,acevedo,1.8047,-75.8897,huila,39877,39877
4,acevedo,2007,4,0,acevedo,1.8047,-75.8897,huila,39877,39877
11,acevedo,2007,6,3,acevedo,1.8047,-75.8897,huila,39877,39877
9,acevedo,2007,3,1,acevedo,1.8047,-75.8897,huila,39877,39877
10,acevedo,2007,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
2,acevedo,2007,6,2,acevedo,1.8047,-75.8897,huila,39877,39877
8,acevedo,2007,5,1,acevedo,1.8047,-75.8897,huila,39877,39877
10,acevedo,2008,2,1,acevedo,1.8047,-75.8897,huila,39877,39877
7,acevedo,2008,3,1,acevedo,1.8047,-75.8897,huila,39877,39877
5,acevedo,2008,6,5,acevedo,1.8047,-75.8897,huila,39877,39877
1,acevedo,2008,6,2,acevedo,1.8047,-75.8897,huila,39877,39877
6,acevedo,2008,6,3,acevedo,1.8047,-75.8897,huila,39877,39877
11,acevedo,2008,6,4,acevedo,1.8047,-75.8897,huila,39877,39877
8,acevedo,2008,6,3,acevedo,1.8047,-75.8897,huila,39877,39877
3,acevedo,2008,3,3,acevedo,1.8047,-75.8897,huila,39877,39877
9,acevedo,2008,5,4,acevedo,1.8047,-75.8897,huila,39877,39877
2,acevedo,2008,2,0,acevedo,1.8047,-75.8897,huila,39877,39877
12,acevedo,2008,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
4,acevedo,2008,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
